개체1,액션1,감정1,URL
"최민수,권총",,,https://jjalbang.today/files/jjalbox/2015/03/85_55169c8522e98_1104.jpg
최민수,나대,,https://jjalbang.today/files/jjalbox/2015/03/90_55169be836487_2752.jpg
"최민수, 허세",부리,,https://jjalbang.today/files/jjalbox/2015/04/20150402_551cd9aaacbf2.jpg
"최민수, 기운",,공포,http://image.fmkorea.com/files/attach/new/20161105/486616/403814545/500519276/09c712bccc121896e3d9325c22575cba.PNG
"최민수, 웃음",웃,행복,https://image.xportsnews.com/contents/images/upload/article/2017/0717/1500270532825073.jpg
"최민수, 웨딩드레스",,,http://file3.instiz.net/data/file3/2018/03/16/1/b/3/1b3e9717110340230e231557e20b3b09.jpg
"최민수, 화생방, 선글라스",,,https://file1.bobaedream.co.kr/strange/2019/06/20/06/ddoo1560979197.gif
"최민수, 상처, 절규",,,https://ohfun.net/contents/article/images/2019/0201/1549000316896142.jpg
"최민수, 눈물",,슬픔,http://file3.instiz.net/data/file3/2020/03/14/6/f/b/6fbb7943b3ef1f471b16c5fed25772aa.gif
"정보석, 권총",,,https://jjalbang.today/files/jjalbox/2018/08/20180829_5b8580479900c.jpg
"개구리, 눈물, 권총",,,https://jjalbang.today/files/jjalbox/2015/11/20151123_5652ba4423fc9.png
"전광렬, 권총",,,https://jjalbang.today/files/jjalbox/2015/11/20151109_56408119755b6.jpg
"에비츄, 눈물","울, 파묻히, 묻히",슬픔,https://jjalbang.today/files/jjalbox/2017/12/20171209_5a2ad145ebf54.gif
"에비츄, 눈물","울, 짠하, 안타깝",슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b542341b63f.jpg
"에비츄, 눈물","기어가, 귀엽",슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b5426a26694.gif
"에비츄, 문","서운, 섭섭",,https://jjalbang.today/files/jjalbox/2020/10/20201031_5f9d63cc61901.jpeg
"에비츄, 당황",놀라,놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e24c389e_1599.png
"에비츄, 투정","열, 부리",슬픔,https://jjalbang.today/files/jjalbox/2020/09/20200913_5f5dfec85f7e7.gif
"에비츄, 먹방, 폭식, 다이어트",먹,,https://jjalbang.today/files/jjalbox/2020/09/20200921_5f68ccc551abf.gif
"에비츄, 잠","자, 일어나, 깨",,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b5428f94d55.gif
"싸대기, 공부, 뺨",,분노,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c96670b80e3.jpg
"무한도전, 무도, 유재석",지치,,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c95eebefcb0.gif
"무한도전, 무도, 하하, 거짓말, 허언",,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c822109151b.jpg
"성동일, 의문","황당, 내가?, 왜?",,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c82144a4778.jpg
"전현무, 융통성, 답답",없,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c82059e4fba.jpg
"정준하, 무도, 무한도전","열받. 빡, 웃지마",분노,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c81fc47e64d.jpg
웃음,웃,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c81f8fc0894.gif
"레오나르도, 디카프리오, 레오나르도 디카프리오, 한잔",,,https://jjalbang.today/files/jjalbox/2021/12/20211203_61aa87e76f84e.jpg
"이경영,진행시켜",,,https://jjalbang.today/files/jjalbox/2021/11/20211123_619d0e55b5baf.jpg
"개비스콘, 해소, 스트레스, 만능짤",답답,,https://jjalbang.today/files/jjalbox/2021/11/20211103_61823a4fbac8b.gif
"무한도전, 무도, 하하",못마땅,혐오,https://jjalbang.today/files/jjalbox/2021/10/20211029_617bba57115dc.gif
"춤, 신남",흥겹,행복,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed805bad69.gif
"춤, 신남, 고개",,행복,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed670420e4.gif
"심영, 야인시대, 고자, 고자라니",,슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169efbbd1a6_2659.gif
"노잼, 관객, 야인시대, 지루",,중립,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed0a0e5137.jpg
"아다치, 비웃음",,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec9ef60131.gif
"고구마, 모죠, 모죠의 일지, 웹툰",답답,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec92d5bd03.jpg
"모죠, 모죠의 일지, 웹툰, 기절",약오르,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ec875d2f37.jpg
"홍준표, 홍카콜라",시무룩,,https://jjalbang.today/files/jjalbox/2021/10/20211013_61676829eeb9c.gif
"홍준표, 홍카콜라",놀라,,https://jjalbang.today/files/jjalbox/2021/10/20211013_6167682041921.gif
아이유,"안사요, 꺼지",,https://jjalbang.today/files/jjalbox/2021/10/20211011_6163b7d97ba99.gif
"혜리, ㅅㅂ, 식빵, 욕, ㅆㅂ","열받, 닥치",분노,https://jjalbang.today/files/jjalbox/2021/10/20211008_615fb7598857a.gif
"전재산, 거지",돈없어,,https://jjalbang.today/files/jjalbox/2021/10/20211007_615ec6afcb686.jpg
"친구비, 친구비용",,,https://jjalbang.today/files/jjalbox/2021/10/20211007_615ea40d21776.jpg
"김성균, 사장님, 응답하라",아이고,,https://jjalbang.today/files/jjalbox/2021/10/20211007_615e9e7344204.gif
"아가리, 침묵",,,https://jjalbang.today/files/jjalbox/2021/10/20211005_615bedefdfce1.jpg
"전광렬, 행복, 크림빵",,행복,https://jjalbang.today/files/jjalbox/2021/10/20211001_615678e57105e.gif
"전광렬, 화나","답답, 열받",,https://jjalbang.today/files/jjalbox/2021/10/20211001_61567099ebdac.gif
"전광렬, 분노, 화나",죽,분노,https://jjalbang.today/files/jjalbox/2021/10/20211001_615676cd7ee4a.gif
"황정민, 두통, 분노, 화나, 신세계","답답, 열받",,https://jjalbang.today/files/jjalbox/2021/10/20211001_61566ff266649.gif
"고독, 청승, 혼자",,,https://jjalbang.today/files/jjalbox/2021/09/20210925_614f08322792f.gif
"주식, 병나발, 소주병, 코인, 천호진, 비트코인","망하, 떡락",,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c9c7b2e2b5.gif
"얼굴, 무도, 무한도전","못생기, 놀리",,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c2061ac346.jpg
"ㅅㅂ, 식빵, 욕, ㅆㅂ",꺼지,,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c1971c152c.gif
"코난, 조준, 시계, 정조누, 명탐정",,,https://jjalbang.today/files/jjalbox/2021/09/20210916_61437757015bd.jpg
"귀귀, 만화","흐뭇, 그윽",,https://jjalbang.today/files/jjalbox/2021/09/20210921_614a0d9f07e35.jpeg
"짱구, 기쁨","흐뭇, 좋, 기쁘",행복,https://jjalbang.today/files/jjalbox/2021/09/20210916_6143763f38b04.gif
"오늘, 여기까지, 유재석, 무도, 무한도전",그만,,https://jjalbang.today/files/jjalbox/2021/09/20210916_614375bacb639.jpg
가면라이더,"뚫어지, 쳐다보",,https://jjalbang.today/files/jjalbox/2021/09/20210913_613eec538195c.jpg
"손현주, 비트코인, 코인, 거지, 담배, 파산",,,https://jjalbang.today/files/jjalbox/2021/08/20210813_611608b5a1611.gif
"박진영, 중성화수술, 중성, 수술, 넥카라",,,https://jjalbang.today/files/jjalbox/2021/06/20210629_60dac5d3bc3d7.jpg
"무한도전, 무도, 정준하, 주먹",,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d30c6644c7b.jpg
"약속, 다이어트, 돼지",뚱뚱,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d31160a255d.jpg
"강호, 도리,",어이없,,https://jjalbang.today/files/jjalbox/2021/06/20210625_60d57fdde1573.jpg
성동일,"저요, 손들",,https://jjalbang.today/files/jjalbox/2021/06/20210628_60d9a1a7864e0.jpg
"공부, 다짐, 결심",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9a85c04cb8.png
"분노, 화남, 김래원, 해바라기","후련, 가져가",,https://jjalbang.today/files/jjalbox/2021/06/20210615_60c852566ea37.jpg
"똥, 기계",만들,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9af4e65aee.jpg
"일론머스크, 엄지, 비트코인, 코인",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60ca1b4168f46.jpg
"일론머스크, 도지, 비트코인, 코인, 도지코인",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60ca1b7d96dbd.jpg
"입, 무한도전, 무도, 유재석, 정준하,","다물, 닫",,https://jjalbang.today/files/jjalbox/2021/06/20210620_60cf607221292.jpg
"박명수, 무도, 무한도전,","좋아하, 척하",,https://jjalbang.today/files/jjalbox/2021/06/20210620_60cf614770b2c.jpg
"눈동자, 건배, 술잔, 술",,,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d036f9096d9.jpeg
"박진영, jyp, 건배, 술잔, 술, 남친짤",,,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d038180de55.jpg
,"예쁘, 다냐",,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d07a902f883.jpg
"키스, 순간, 맨솔, 멘솔","알, 펴",,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d080246b6f9.jpg
"처음, 광경,","깜놀, 보, 신기, 황당",놀람,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d29fe6071ce.jpg
"원숭이, 담배, 흡연",펴,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2a2eee5147.jpg
"놀람, 감동, 원숭이","입틀막, 말잇못",중립,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2a225a9c30.jpg
"무한도전, 무도, 유재석, ?, 물음표, 의문","놀라, 뭐야",,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2eec410f33.jpg
"안선생님, 슬램덩크, 성장",않았,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2f0ee6cbb0.jpg
"강아지, 개","기다려, 안절부절",,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2f2c8010ec.gif
"기안84, 기안, 분노, 양치, 양치질, 나혼자산다, 나혼산, 샤워",벅벅,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4ce30a9b5b.gif
"마동석, 오레오, 까불지마","못죽일, 죽고싶",분노,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4b836d5715.jpg
"마동석, 관속, 매장","죽고싶, 뒤지",분노,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4b74ee7208.jpg
"나혼자산다, 나혼산, 장도연, 피곤, 짜증",,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4d7d0c5a0a.jpg
강호동,웃,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4de716f162.jpg
"퇴사, 사퇴, 회사, 강동원, 사직서","해보, 그만두",,https://jjalbang.today/files/jjalbox/2021/06/20210615_60c840e28112c.jpg
"도라에몽, 노력, 부족, 공부, 시험",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9aa7a1bc31.jpg
"월요일, 주말, 일요일, 일요, 병, 월요병, 출근, 직장인, 순삭",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9b637f01a0.jpg
"야근, 무한상사, 회사, 퇴근, 유재석, 무한도전, 무도",못,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9b6a35c8d2.png
"입틀막, 깜놀, 충격, 조보아, 골목식당",깜짝,놀람,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2d9afd76d8.gif
"피타고라스, 명언",답이없다,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2ee7cae110.jpg
"로딩, 버퍼링, 생각중",,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2f21a8b303.gif
"장풍, 목사, 사이비, 손짓",,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d310bc973e5.gif
"분노조절장애, 분노, 화난, 화남, 대륙, 꼬마",빡침,"분노, 혐오",https://jjalbang.today/files/jjalbox/2021/06/20210629_60daccbeef251.gif
이마,"탁, 세상에, 맙소사, 어휴, 에휴",,https://jjalbang.today/files/jjalbox/2021/07/20210708_60e67a0fd3770.gif
혐오,"한심, 답답, 싫",혐오,https://jjalbang.today/files/jjalbox/2021/07/20210723_60fa69b9b1543.gif
"흰둥이, 강아지, 개, 인생",,,https://jjalbang.today/files/jjalbox/2021/09/20210916_6143768c4171b.jpg
,"왜저래, 왜저랩, 뭐래, 뭐냐",,https://jjalbang.today/files/jjalbox/2021/06/20210610_60c1cf3ad1baa.jpg
"놀람, 공포, 무서움, 깜놀",무섭,"공포, 놀람",https://jjalbang.today/files/jjalbox/2018/01/20180101_5a49ca34d8046.jpg
"심쿵, 심장, 충격, 강제심쿵, 할아버지",두근,,https://jjalbang.today/files/jjalbox/2015/03/89_55169a06c40a4_2933.jpg
"심쿵, 심장, 충격, 강제심쿵, 하트, 토끼",두근,,https://jjalbang.today/files/jjalbox/2015/03/89_55169a07ec28a_2934.png
"소린지, 소리, 공부, 시험, 수업",모르,,https://jjalbang.today/files/jjalbox/2016/09/20160909_57d19692d7fd0.jpg
"덜덜, ㄷㄷ, ㄷㄷㄷ, 귀귀",무섭,공포,https://jjalbang.today/files/jjalbox/2018/09/20180912_5b98b22d350f7.gif
"무한도전, 무도, 유재석, 소름",깜놀,공포,https://jjalbang.today/files/jjalbox/2016/08/20160812_57adbf8028661.jpg
"짱구, 사과, 인사","꾸벅, 죄송",,https://jjalbang.today/files/jjalbox/2021/09/20210916_61437609dc2ef.gif
"김수미, 소주, 술, 병나발",마시,,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c177dc6ccf.jpg
"짱구, 침","흘리, 추릅, 츄릅, 맛있",,https://jjalbang.today/files/jjalbox/2021/10/20211005_615c1712e1f2a.jpg
"고양이, 표정","놀라, 놀랍, 깜짝",놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e33ed706_1583.jpg
"무한도전, 노홍철, 밥, 상남자",,,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b565b21de23.jpg
"무한도전, 박명수, 분노",,분노,https://jjalbang.today/files/jjalbox/2016/08/20160821_57b9613118cc0.jpg
"무한도전, 절, 감사",,,https://jjalbang.today/files/jjalbox/2017/12/20171216_5a34e4542e9bb.jpg
"휴대폰, 행복",,행복,https://jjalbang.today/files/jjalbox/2018/01/20180117_5a5f2a38e3862.gif
"환호,남자",,행복,https://jjalbang.today/files/jjalbox/2015/04/20150418_5532177d73df6.png
"미니언즈, 박수, 환호",,행복,https://jjalbang.today/files/jjalbox/2017/12/20171231_5a4886431a9a5.gif
"전광렬, 산삼, 허준, 약초",,,https://jjalbang.today/files/jjalbox/2016/09/20160902_57c9241d84ca1.jpg
"생일,파티",,행복,https://jjalbang.today/files/jjalbox/2015/03/86_55169d1619808_1135.gif
"군대, 군인, 과자, 몽쉘, 행복",,행복,https://jjalbang.today/files/jjalbox/2020/09/20200916_5f620b5534756.jpg
짱구,뒹굴,,https://jjalbang.today/files/jjalbox/2021/09/20210916_6143763f38b04.gif
"여자, 분노",,분노,https://jjalbang.today/files/jjalbox/2016/08/20160814_57af46a9d1eab.gif
"김정은, 분노",,분노,https://jjalbang.today/files/jjalbox/2016/10/20161028_5812de329a445.gif
"이승윤, 자연인",,혐오,https://jjalbang.today/files/jjalbox/2017/12/20171207_5a28ebb4cba93.jpg
"나문희,호박,고구마",,,https://jjalbang.today/files/jjalbox/2016/08/20160812_57ad644c62b0f.jpg
"추노, 고구마, 장혁",,슬픔,https://jjalbang.today/files/jjalbox/2015/03/93_55169f483fb2f_2422.jpg
"전광렬, 눈물, 빵",,슬픔,https://jjalbang.today/files/jjalbox/2015/03/108_55169b71d8459_2801.jpg
"유병재, 안습",,슬픔,https://jjalbang.today/files/jjalbox/2019/01/20190110_5c36f4be20b70.jpg
단비,삐지,,https://jjalbang.today/files/jjalbox/2019/03/20190325_5c98461d35828.gif
"심슨, 눈물",,슬픔,https://jjalbang.today/files/jjalbox/2018/01/20180117_5a5f3162af6a5.gif
"아이유, 눈물",,슬픔,https://jjalbang.today/files/jjalbox/2018/06/20180619_5b290b83e1253.gif
"짱구, 엄마, 화남",,분노,https://jjalbang.today/files/jjalbox/2015/03/20150330_5519312e0a02a.jpg
공포,놀라,놀람,https://jjalbang.today/files/jjalbox/2018/01/20180101_5a49ca34d8046.jpg
"식은땀, 공포",놀라,놀람,https://jjalbang.today/files/jjalbox/2018/01/20180118_5a600b53d55fc.gif
"장윤정, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/03/20160322_56f0f11774af2.gif
"아이유, 화남",빡침,분노,https://jjalbang.today/files/jjalbox/2018/03/20180331_5abf316d439bb.gif
혐오,,혐오,https://jjalbang.today/files/jjalbox/2015/03/85_55169cd28f031_1001.jpg
"탈락, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160817_57b4685c1b569.jpg
"박미선, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160830_57c52c0e0627a.jpg
"노홍철, 무한도전, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2018/01/20180109_5a5465a14bca1.jpg
몬스터주식회사,,,https://jjalbang.today/files/jjalbox/2020/11/20201116_5fb23c80a40d8.png
"중립, 기어",,,https://jjalbang.today/files/jjalbox/2021/06/20210605_60bb4d95d7853.png
"김정은,박수",,,https://jjalbang.today/files/jjalbox/2016/11/20161111_58248f5bbdfba.gif
아이유,"웃, 빵터짐",행복,https://jjalbang.today/files/jjalbox/2015/06/20150629_559093c55bf53.jpg
개판,,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b8204d025fc.jpg
"마동석,진실의방",,,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2eafc1915f0.jpg
